hex_string,utf8_string,emoji_desc
261D,\u00e2\u0098\u009d,index pointing up
261D 1F3FB,\u00e2\u0098\u009d\u00f0\u009f\u008f\u00bb,index pointing up: light skin tone
261D 1F3FC,\u00e2\u0098\u009d\u00f0\u009f\u008f\u00bc,index pointing up: medium-light skin tone
261D 1F3FD,\u00e2\u0098\u009d\u00f0\u009f\u008f\u00bd,index pointing up: medium skin tone
261D 1F3FE,\u00e2\u0098\u009d\u00f0\u009f\u008f\u00be,index pointing up: medium-dark skin tone
261D 1F3FF,\u00e2\u0098\u009d\u00f0\u009f\u008f\u00bf,index pointing up: dark skin tone
1F44D,\u00f0\u009f\u0091\u008d,thumbs up
1F44D 1F3FB,\u00f0\u009f\u0091\u008d\u00f0\u009f\u008f\u00bb,thumbs up: light skin tone
1F44D 1F3FC,\u00f0\u009f\u0091\u008d\u00f0\u009f\u008f\u00bc,thumbs up: medium-light skin tone
1F44D 1F3FD,\u00f0\u009f\u0091\u008d\u00f0\u009f\u008f\u00bd,thumbs up: medium skin tone
1F44D 1F3FE,\u00f0\u009f\u0091\u008d\u00f0\u009f\u008f\u00be,thumbs up: medium-dark skin tone
1F44D 1F3FF,\u00f0\u009f\u0091\u008d\u00f0\u009f\u008f\u00bf,thumbs up: dark skin tone
1F44E,\u00f0\u009f\u0091\u008e,thumbs down
1F44E 1F3FB,\u00f0\u009f\u0091\u008e\u00f0\u009f\u008f\u00bb,thumbs down: light skin tone
1F44E 1F3FC,\u00f0\u009f\u0091\u008e\u00f0\u009f\u008f\u00bc,thumbs down: medium-light skin tone
1F44E 1F3FD,\u00f0\u009f\u0091\u008e\u00f0\u009f\u008f\u00bd,thumbs down: medium skin tone
1F44E 1F3FE,\u00f0\u009f\u0091\u008e\u00f0\u009f\u008f\u00be,thumbs down: medium-dark skin tone
1F44E 1F3FF,\u00f0\u009f\u0091\u008e\u00f0\u009f\u008f\u00bf,thumbs down: dark skin tone
270A,\u00e2\u009c\u008a,raised fist
270A 1F3FB,\u00e2\u009c\u008a\u00f0\u009f\u008f\u00bb,raised fist: light skin tone
270A 1F3FC,\u00e2\u009c\u008a\u00f0\u009f\u008f\u00bc,raised fist: medium-light skin tone
270A 1F3FD,\u00e2\u009c\u008a\u00f0\u009f\u008f\u00bd,raised fist: medium skin tone
270A 1F3FE,\u00e2\u009c\u008a\u00f0\u009f\u008f\u00be,raised fist: medium-dark skin tone
270A 1F3FF,\u00e2\u009c\u008a\u00f0\u009f\u008f\u00bf,raised fist: dark skin tone
1F44A,\u00f0\u009f\u0091\u008a,oncoming fist
1F44A 1F3FB,\u00f0\u009f\u0091\u008a\u00f0\u009f\u008f\u00bb,oncoming fist: light skin tone
1F44A 1F3FC,\u00f0\u009f\u0091\u008a\u00f0\u009f\u008f\u00bc,oncoming fist: medium-light skin tone
1F44A 1F3FD,\u00f0\u009f\u0091\u008a\u00f0\u009f\u008f\u00bd,oncoming fist: medium skin tone
1F44A 1F3FE,\u00f0\u009f\u0091\u008a\u00f0\u009f\u008f\u00be,oncoming fist: medium-dark skin tone
1F44A 1F3FF,\u00f0\u009f\u0091\u008a\u00f0\u009f\u008f\u00bf,oncoming fist: dark skin tone
1F91B,\u00f0\u009f\u00a4\u009b,left-facing fist
1F91B 1F3FB,\u00f0\u009f\u00a4\u009b\u00f0\u009f\u008f\u00bb,left-facing fist: light skin tone
1F91B 1F3FC,\u00f0\u009f\u00a4\u009b\u00f0\u009f\u008f\u00bc,left-facing fist: medium-light skin tone
1F91B 1F3FD,\u00f0\u009f\u00a4\u009b\u00f0\u009f\u008f\u00bd,left-facing fist: medium skin tone
1F91B 1F3FE,\u00f0\u009f\u00a4\u009b\u00f0\u009f\u008f\u00be,left-facing fist: medium-dark skin tone
1F91B 1F3FF,\u00f0\u009f\u00a4\u009b\u00f0\u009f\u008f\u00bf,left-facing fist: dark skin tone
1F91C,\u00f0\u009f\u00a4\u009c,right-facing fist
1F91C 1F3FB,\u00f0\u009f\u00a4\u009c\u00f0\u009f\u008f\u00bb,right-facing fist: light skin tone
1F91C 1F3FC,\u00f0\u009f\u00a4\u009c\u00f0\u009f\u008f\u00bc,right-facing fist: medium-light skin tone
1F91C 1F3FD,\u00f0\u009f\u00a4\u009c\u00f0\u009f\u008f\u00bd,right-facing fist: medium skin tone
1F91C 1F3FE,\u00f0\u009f\u00a4\u009c\u00f0\u009f\u008f\u00be,right-facing fist: medium-dark skin tone
1F91C 1F3FF,\u00f0\u009f\u00a4\u009c\u00f0\u009f\u008f\u00bf,right-facing fist: dark skin tone
1F44F,\u00f0\u009f\u0091\u008f,clapping hands
1F44F 1F3FB,\u00f0\u009f\u0091\u008f\u00f0\u009f\u008f\u00bb,clapping hands: light skin tone
1F44F 1F3FC,\u00f0\u009f\u0091\u008f\u00f0\u009f\u008f\u00bc,clapping hands: medium-light skin tone
1F44F 1F3FD,\u00f0\u009f\u0091\u008f\u00f0\u009f\u008f\u00bd,clapping hands: medium skin tone
1F44F 1F3FE,\u00f0\u009f\u0091\u008f\u00f0\u009f\u008f\u00be,clapping hands: medium-dark skin tone
1F44F 1F3FF,\u00f0\u009f\u0091\u008f\u00f0\u009f\u008f\u00bf,clapping hands: dark skin tone
